instance hosts processes threads workersPerProc totalWorkers runtime maxclique
p_hat700-3 1 1 5 4 4 1061.77 62
p_hat700-3 1 1 5 4 4 1062.12 62
p_hat700-3 1 1 5 4 4 1067.43 62
p_hat700-3 1 1 5 4 4 1055.34 62
sanr200_0.9 1 1 2 1 1 39.966 42
sanr200_0.9 1 1 2 1 1 40.727 42
sanr200_0.9 1 1 2 1 1 39.358 42
sanr200_0.9 1 1 2 1 1 40.319 42
sanr200_0.9 1 1 2 1 1 41.026 42
brock400_1 1 1 2 1 1 324.612 27
sanr200_0.9 1 1 3 2 2 31.099 42
sanr200_0.9 1 1 3 2 2 31.297 42
sanr200_0.9 1 1 3 2 2 33.31 42
sanr200_0.9 1 1 3 2 2 30.991 42
